Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
41641.777742,5.885129,4.49623109,2.61,22931.77,786756.154,"4346 Lincoln St Suite 392, Boston, MA"
78761.405252,7.84404254,8.4835307,4.4,44333.5706,1510741.764,"3112 Lake St Suite 322, New York, NY"
70542.620357,6.33756161,8.23582892,5.7,49208.8797,1242604.186,"2580 Oak St Suite 620, Dallas, TX"
89593.978174,2.54817066,3.47572604,2.0,40188.7776,1082704.188,"9334 Cedar St Suite 692, New York, NY"
73356.705723,5.35379932,7.08570603,3.9,66735.3129,1312703.709,"3911 Lake St Suite 505, Miami, FL"
77018.315607,4.39997664,5.21324037,2.6,23627.1557,1135170.044,"7509 Maple St Suite 175, Seattle, WA"
65411.928583,3.05965256,5.44306184,3.74,32214.2208,946209.55,"8901 Lake St Suite 726, New York, NY"
76750.42426,6.43681826,9.52229228,6.42,63906.3482,1475680.06,"4334 Maple St Suite 209, Miami, FL"
49064.374862,6.83863862,8.02328531,5.13,51711.8979,1156129.002,"833 Maple St Suite 749, Boston, MA"
88054.366256,2.35269409,5.33489577,3.55,68989.8977,1241584.915,"2648 Lincoln St Suite 664, Boston, MA"
69263.480534,2.89499104,9.61535657,4.92,27452.7143,1144656.36,"9053 Pine St Suite 540, Miami, FL"
32928.020072,4.91721212,9.53161607,4.38,21994.7439,919229.501,"5863 Cedar St Suite 798, Seattle, WA"
76685.338744,4.82942908,6.91918463,3.3,68691.8511,1304620.435,"3879 Pine St Suite 919, Miami, FL"
91699.134326,2.1982909,8.1559513,4.9,66540.7943,1251988.586,"4066 Lake St Suite 263, Dallas, TX"
56777.920582,2.30979686,6.29483015,4.04,65922.5951,946326.215,"3729 Cedar St Suite 124, Seattle, WA"
57892.6185,4.22882449,3.48594528,2.0,37557.3065,951748.012,"8347 Washington St Suite 795, Denver, CO"
95746.599823,2.92273401,9.79280428,6.35,68126.7158,1443335.446,"7120 Hill St Suite 846, Denver, CO"
60547.571871,9.87388679,3.80952049,2.0,29503.9387,1213271.001,"728 Washington St Suite 101, Seattle, WA"
55495.503025,2.55979049,7.64966379,4.6,35695.7823,966701.759,"4921 Lake St Suite 782, Boston, MA"
52832.80334,7.57766731,6.88088734,4.43,53246.4717,1153166.754,"6212 Pine St Suite 730, Phoenix, AZ"
58425.261813,8.66980135,5.12712464,3.27,59287.9414,1230408.101,"7239 Lincoln St Suite 791, Seattle, WA"
65782.179781,8.34988319,9.71882403,4.89,52942.5372,1426028.438,"4650 Hill St Suite 195, Seattle, WA"
77095.696939,3.79712533,4.39390953,3.1,32242.1272,990453.359,"1194 Lincoln St Suite 524, Seattle, WA"
80284.214085,5.07182774,5.79757004,3.82,54381.1207,1261808.374,"1747 Washington St Suite 324, Miami, FL"
86287.689932,7.56729421,6.25184919,3.39,65873.5007,1494097.842,"7613 Hill St Suite 873, Atlanta, GA"
72885.662593,7.75419169,6.53344715,3.16,47393.5975,1353752.508,"2608 Lincoln St Suite 560, Phoenix, AZ"
82624.375055,8.7189031,4.94117947,2.44,44229.8509,1405022.319,"4682 Cedar St Suite 378, Denver, CO"
52379.669789,6.32121778,3.96861843,2.5,54697.4906,1065122.886,"3506 Maple St Suite 524, Boston, MA"
53161.697373,5.72739443,3.43585997,2.0,39473.8406,956513.239,"321 Washington St Suite 588, New York, NY"
95991.91602,4.38890122,5.72990654,2.71,61786.4335,1302885.342,"8819 Cedar St Suite 599, Seattle, WA"
49105.471823,5.88513595,5.72200042,2.96,59907.1162,1056848.089,"2092 Oak St Suite 503, New York, NY"
35876.322351,5.42890216,9.06795949,5.87,33007.8157,904791.067,"5364 Cedar St Suite 565, Denver, CO"
53625.038365,9.03711989,4.94779631,2.29,41078.2413,1196306.34,"8838 Oak St Suite 458, Seattle, WA"
75510.086527,8.2498644,7.56228259,3.77,67480.5866,1454639.159,"3267 Oak St Suite 736, Miami, FL"
46698.145932,5.78848849,3.80072612,2.0,43251.6992,923664.825,"9927 Maple St Suite 896, Miami, FL"
97530.454112,2.86479,3.17974898,2.0,53867.3643,1221036.887,"6150 Washington St Suite 832, Seattle, WA"
35319.753449,7.52491533,7.39069677,4.99,58624.0442,1104362.916,"1984 Oak St Suite 455, Boston, MA"
76306.493848,2.55165389,7.53280278,5.34,41002.937,1076105.968,"8032 Maple St Suite 543, Denver, CO"
74490.957427,8.62965849,7.95116051,4.55,56689.7652,1493296.395,"8818 Lincoln St Suite 576, Boston, MA"
87801.421889,6.73979695,5.25613208,3.29,66731.0939,1411791.054,"4570 Lincoln St Suite 349, Atlanta, GA"
69889.475127,7.34550776,5.35477634,2.98,36250.7084,1191510.083,"4233 Hill St Suite 386, Phoenix, AZ"
68905.371954,6.13301801,4.33739496,2.72,40321.4062,1127322.317,"9097 Cedar St Suite 807, Atlanta, GA"
75213.202982,5.92657068,8.55053008,5.8,31079.82,1266128.357,"9529 Hill St Suite 584, Denver, CO"
59785.266889,7.96748349,5.31553908,2.71,33545.8213,1138871.296,"4119 Cedar St Suite 223, Seattle, WA"
52088.35608,7.94304851,9.65614292,4.95,29577.0487,1237644.822,"9660 Lake St Suite 202, Seattle, WA"
50737.252429,4.88704855,5.11587312,2.6,26329.148,883781.767,"746 Oak St Suite 666, Phoenix, AZ"
78819.217504,3.01023594,9.07922838,5.06,63635.9867,1254314.002,"7217 Hill St Suite 288, New York, NY"
47673.487335,8.89378372,3.79860999,2.62,44587.328,1070470.979,"9454 Oak St Suite 255, Miami, FL"
86779.945339,9.59300514,3.59626636,2.25,47903.6517,1404031.631,"3698 Washington St Suite 561, Atlanta, GA"
50814.719276,6.70820111,6.00180885,3.24,23011.5152,1038985.333,"1626 Cedar St Suite 740, Seattle, WA"
48525.22877,2.64949972,4.67905624,2.54,27826.6308,727408.714,"7700 Lake St Suite 133, Seattle, WA"
50167.342272,4.26174698,9.01724712,6.19,31671.1903,1033178.58,"4335 Cedar St Suite 535, Dallas, TX"
68119.36651,7.18107779,9.35888012,4.54,23570.4918,1316638.506,"9326 Lake St Suite 549, Dallas, TX"
62808.857919,4.43272952,5.81755963,3.6,46999.0781,1084063.99,"7173 Maple St Suite 712, New York, NY"
92259.60225,7.87627139,7.22599549,5.09,31446.2208,1437139.66,"9620 Oak St Suite 883, Phoenix, AZ"
70337.288922,8.10487203,4.2263351,2.33,42111.4702,1187110.633,"4558 Pine St Suite 699, Boston, MA"
74434.930362,5.93380642,3.63869684,2.17,36665.4197,1097535.512,"5404 Washington St Suite 810, Atlanta, GA"
50175.245675,9.56154832,8.69496224,4.73,42741.2954,1256306.906,"5154 Lake St Suite 431, Dallas, TX"
97912.930877,5.23340046,6.60217377,3.01,52883.0193,1407693.55,"3074 Hill St Suite 737, Atlanta, GA"
73778.61195,8.07992429,4.42490767,2.41,66383.638,1338123.767,"7179 Lincoln St Suite 224, New York, NY"
98120.277108,6.87097334,4.67508224,3.06,47541.9504,1414955.777,"1859 Lincoln St Suite 220, Miami, FL"
64886.28533,7.73282661,6.56210411,4.05,61736.1973,1308606.944,"7737 Cedar St Suite 567, Miami, FL"
56851.020927,9.3749452,6.55768624,3.12,63201.3467,1335589.832,"6799 Hill St Suite 906, Phoenix, AZ"
87438.463123,4.26271187,5.08989095,2.72,69945.1167,1351131.999,"8023 Pine St Suite 557, Atlanta, GA"
54158.675919,6.41533934,6.80401044,3.86,36088.8675,1113340.529,"9369 Washington St Suite 339, Boston, MA"
33055.310937,7.95764121,7.93659517,3.87,39303.9376,1101956.48,"2493 Lincoln St Suite 137, Miami, FL"
65160.380509,6.72144343,9.08790219,4.33,42015.3105,1270917.837,"2362 Washington St Suite 991, Miami, FL"
35237.977377,8.25220233,4.85515946,2.56,39874.1662,977389.226,"1316 Hill St Suite 972, Boston, MA"
96789.771484,7.01439343,9.21207078,5.15,47050.8006,1566983.317,"4709 Cedar St Suite 864, Dallas, TX"
60378.003035,2.78754501,7.4362348,3.54,42183.9276,996193.086,"4907 Oak St Suite 147, Denver, CO"
85730.042561,4.34694221,5.62388763,3.71,46558.3159,1182026.047,"2786 Pine St Suite 180, Boston, MA"
73379.725798,3.92663833,9.38980311,6.2,43057.4957,1204719.658,"4162 Lincoln St Suite 361, New York, NY"
92923.597219,5.72202604,5.01342166,2.73,23693.095,1357541.77,"4902 Washington St Suite 806, Phoenix, AZ"
61978.506887,4.41697336,9.99561496,4.8,25332.6634,1114502.941,"6249 Hill St Suite 688, Phoenix, AZ"
99488.443054,4.36184603,9.84561139,5.11,33724.019,1416103.609,"804 Lincoln St Suite 952, Phoenix, AZ"
84301.868572,3.84094713,8.6135237,5.47,29506.5995,1226467.125,"4107 Pine St Suite 743, Dallas, TX"
93238.259285,7.17072487,5.16253019,2.95,48978.6903,1426981.895,"4836 Hill St Suite 865, Boston, MA"
42294.804931,3.05727838,6.77585431,3.11,46542.6187,857803.116,"4466 Pine St Suite 363, Atlanta, GA"
97716.885332,4.36113159,9.09277872,4.45,43416.5694,1493987.646,"3697 Washington St Suite 966, Denver, CO"
36321.20129,5.15659648,4.85121005,3.24,38429.2829,848268.976,"4296 Washington St Suite 942, Denver, CO"
37584.227154,3.87057522,3.17517255,2.0,48070.3691,763704.906,"1036 Lincoln St Suite 817, Phoenix, AZ"
75446.76124,2.93340749,3.31742768,2.32,69796.3687,1058354.475,"1903 Maple St Suite 340, Miami, FL"
57205.208181,4.96809212,9.64566538,4.93,47009.6248,1142398.461,"6798 Maple St Suite 953, Atlanta, GA"
73095.654984,9.51242453,4.95818098,2.54,30863.4842,1300703.759,"7286 Cedar St Suite 975, Denver, CO"
36954.823722,7.48544212,6.81126103,3.12,37933.6921,1009338.031,"2002 Lincoln St Suite 193, Seattle, WA"
74919.312706,6.77716768,3.14950218,2.0,32178.4449,1152352.623,"2064 Cedar St Suite 170, Seattle, WA"
71046.815851,8.50442385,4.63099075,2.29,59432.1877,1314288.692,"2371 Pine St Suite 653, Phoenix, AZ"
85895.967649,2.87941078,9.06513522,6.02,37912.114,1233551.954,"3899 Hill St Suite 116, Miami, FL"
48575.725583,3.01406835,5.9467239,3.99,23177.9019,779870.598,"9727 Maple St Suite 562, Seattle, WA"
96179.095008,2.3469203,8.48258897,4.05,46072.5607,1332865.279,"7505 Oak St Suite 162, Atlanta, GA"
89310.898022,5.41018895,3.75573281,2.0,42178.1165,1263089.818,"2431 Maple St Suite 229, Phoenix, AZ"
73702.2246,6.68291751,7.98506957,4.68,49869.5928,1330286.936,"4832 Lincoln St Suite 617, Boston, MA"
36942.492318,7.61423535,8.96954916,4.67,58448.1365,1159876.129,"7399 Cedar St Suite 523, Denver, CO"
87919.345735,5.18984147,8.10728755,4.91,35626.1786,1324356.971,"4177 Hill St Suite 256, Atlanta, GA"
34699.33157,8.65417511,3.65261071,2.47,56939.7999,1016976.345,"9609 Hill St Suite 786, Dallas, TX"
58756.604305,8.98885898,9.58790908,5.52,65792.1835,1409829.24,"843 Lake St Suite 714, Phoenix, AZ"
54615.232999,6.62334815,4.48917164,2.33,31212.2435,1063052.115,"6023 Maple St Suite 880, Phoenix, AZ"
70187.000303,8.45777097,8.91608613,4.09,60921.343,1519332.809,"9122 Oak St Suite 723, Phoenix, AZ"
32026.722674,4.18616311,8.33686663,3.9,37551.171,879611.705,"6567 Maple St Suite 245, New York, NY"
36423.037814,6.24386151,5.63336084,3.2,27870.4638,895725.173,"5106 Hill St Suite 895, Dallas, TX"
91833.952916,3.24463923,8.28105115,5.75,24079.0764,1213347.493,"9947 Lincoln St Suite 524, Phoenix, AZ"
45089.827574,6.09877045,5.41620999,3.64,53910.8946,1018681.487,"9718 Lincoln St Suite 639, Phoenix, AZ"
33179.215382,5.16210717,7.1952747,5.12,35070.9681,869324.136,"4187 Lake St Suite 435, Dallas, TX"
30541.09346,7.97611299,4.22986361,2.48,55183.5632,968878.148,"8197 Hill St Suite 173, Boston, MA"
90323.505342,2.33841809,3.13119076,2.0,63105.5007,1099267.276,"6844 Lake St Suite 217, Boston, MA"
31459.959132,4.59814544,8.60925508,4.54,61601.2957,947373.547,"5929 Maple St Suite 547, Dallas, TX"
47032.153238,6.71097031,6.6677378,3.88,35513.7281,1031815.29,"2755 Maple St Suite 622, Dallas, TX"
67142.337454,3.55122965,8.43359761,5.02,67911.1674,1228446.789,"2420 Cedar St Suite 205, Miami, FL"
47917.77554,3.38799218,4.07008852,2.03,23767.6637,806798.416,"7602 Lincoln St Suite 797, Denver, CO"
90497.281238,7.01773926,4.05670181,2.79,42110.4032,1322866.084,"4962 Lake St Suite 705, New York, NY"
54635.955583,2.59352525,6.23219741,4.36,38436.88,877820.202,"1480 Washington St Suite 573, New York, NY"
61481.359256,8.47852734,7.56286218,4.56,43781.4514,1345990.696,"2472 Oak St Suite 561, Dallas, TX"
86767.676793,8.69901743,9.87669907,6.5,52306.3546,1661711.183,"7200 Pine St Suite 472, Denver, CO"
94255.575238,5.09933248,8.42125352,4.33,22618.2759,1381831.784,"5483 Maple St Suite 437, Dallas, TX"
69057.424869,5.09251364,4.76397049,2.29,68220.5014,1165732.494,"1336 Pine St Suite 458, Phoenix, AZ"
97738.755538,7.5878397,5.74370589,3.06,66900.11,1550833.857,"5073 Washington St Suite 758, Denver, CO"
86922.934867,7.3609312,8.80271281,4.42,54270.722,1491495.795,"6938 Hill St Suite 118, Denver, CO"
51620.624904,9.60935451,5.39212642,2.68,29600.2617,1163993.858,"2254 Pine St Suite 179, Phoenix, AZ"
89109.987208,2.80912611,8.39612304,4.06,64184.1083,1367560.899,"2148 Washington St Suite 257, Miami, FL"
42659.217702,7.54276513,7.37318336,3.47,56059.1499,1153160.183,"716 Washington St Suite 473, Seattle, WA"
97871.202239,6.88476338,8.26673816,4.08,31700.1472,1517491.578,"7685 Cedar St Suite 476, Atlanta, GA"
62317.598491,4.25417386,5.67310704,3.11,68313.4077,1189676.366,"3272 Pine St Suite 993, Phoenix, AZ"
33652.586228,5.84472524,5.59848475,2.61,55570.0489,910631.16,"1375 Pine St Suite 379, Atlanta, GA"
93371.434628,3.17878925,6.06230792,2.81,31101.9003,1212060.349,"7392 Hill St Suite 127, Boston, MA"
33727.982102,6.01605692,4.65044652,2.12,38745.6337,919956.222,"5494 Pine St Suite 240, New York, NY"
50081.557812,8.63809267,7.87250392,5.21,55276.8088,1273404.107,"7350 Oak St Suite 181, New York, NY"
47914.674991,8.67970479,6.84162972,3.45,46388.5753,1214549.349,"4935 Maple St Suite 148, Seattle, WA"
59387.788063,8.35119287,6.19979532,4.16,65257.3443,1310686.205,"9777 Oak St Suite 747, Seattle, WA"
80298.102945,4.3301759,3.01095035,2.0,48533.1858,1122032.929,"8577 Hill St Suite 169, New York, NY"
57331.761279,5.76108063,7.44969554,3.41,32682.5131,1149797.232,"267 Hill St Suite 907, Dallas, TX"
54136.174521,7.86352817,7.39779874,3.67,56759.3492,1251304.939,"8946 Hill St Suite 933, Miami, FL"
88126.855973,7.47746053,9.8657343,5.53,29113.8999,1513368.675,"2210 Maple St Suite 833, Atlanta, GA"
32588.865314,3.61272794,8.53776449,4.05,35779.791,838563.974,"8898 Lincoln St Suite 359, New York, NY"
82730.364317,3.52882745,5.49881923,2.72,63289.9139,1249054.403,"5439 Lake St Suite 227, Denver, CO"
60586.596819,5.2001742,6.07815644,2.81,36951.8314,1088414.138,"6019 Lake St Suite 920, Dallas, TX"
80895.692704,2.63141605,7.21717309,3.51,47273.7199,1216637.826,"5263 Maple St Suite 181, Denver, CO"
76264.345502,4.45196685,7.21835139,4.15,54488.2404,1238191.341,"5777 Washington St Suite 381, New York, NY"
35252.881549,7.1001003,5.54317791,2.72,53970.5304,1000595.752,"511 Pine St Suite 969, Atlanta, GA"
32435.927606,2.5378669,8.44960761,4.99,39142.7201,754587.25,"7372 Hill St Suite 480, Atlanta, GA"
83415.913026,6.59137423,6.70621917,3.9,52478.0368,1366784.524,"4090 Maple St Suite 126, Miami, FL"
64933.077218,5.09589904,6.93170898,4.31,33014.4886,1012623.945,"4679 Lincoln St Suite 304, Dallas, TX"
39500.989241,2.59241631,4.20859455,2.14,69863.1202,835509.254,"5237 Hill St Suite 826, Dallas, TX"
68499.800324,4.32289826,5.09969675,3.34,55478.1896,1095437.638,"5923 Cedar St Suite 224, Seattle, WA"
85444.597153,3.89388947,6.45815356,3.82,48613.8704,1226521.334,"7658 Pine St Suite 726, Dallas, TX"
34602.367369,5.18527985,8.01853519,4.5,40539.756,900413.357,"2054 Hill St Suite 757, Dallas, TX"
61498.214696,7.44087193,5.41160346,2.57,59013.1464,1252936.012,"9631 Pine St Suite 886, Miami, FL"
60283.280054,9.28569817,3.38788995,2.26,27650.7733,1155952.089,"3695 Hill St Suite 631, Phoenix, AZ"
89215.359431,4.00484247,7.44539964,4.04,26258.5148,1272871.509,"4962 Maple St Suite 614, Miami, FL"
71426.591172,6.64517201,4.19840436,2.21,65100.0447,1209182.591,"675 Oak St Suite 183, New York, NY"
96398.279778,8.16817895,4.85259135,3.09,48606.8601,1546618.605,"497 Lincoln St Suite 742, Phoenix, AZ"
74933.510251,4.4167529,4.71414537,2.3,40304.6263,1062854.865,"2590 Lincoln St Suite 525, Atlanta, GA"
62510.951044,4.72154055,4.00568084,2.0,35965.8196,997476.617,"5659 Washington St Suite 233, Denver, CO"
66048.609386,2.84947147,4.69216503,3.13,42479.8006,960787.559,"6294 Washington St Suite 354, Miami, FL"
86943.449251,9.47001228,8.047899,5.19,27967.1206,1530489.465,"8434 Lincoln St Suite 610, Phoenix, AZ"
64815.919113,2.72039276,5.75269529,3.26,32036.432,939979.604,"4610 Lincoln St Suite 711, Atlanta, GA"
50002.386701,2.06541925,3.75247959,2.49,33223.645,723423.928,"5993 Washington St Suite 474, New York, NY"
58040.713471,6.56225315,4.36258711,2.37,23676.5875,963302.066,"4583 Maple St Suite 231, Dallas, TX"
57573.259891,8.35917783,5.3735971,2.5,57748.2586,1240389.829,"3262 Washington St Suite 612, New York, NY"
33171.234673,3.09629099,5.33128494,3.0,42849.428,703655.083,"5374 Hill St Suite 266, Boston, MA"
99343.101629,7.91455488,5.0946404,3.05,61414.4693,1525617.174,"8722 Lincoln St Suite 825, Phoenix, AZ"
63242.482,2.13309564,5.31867716,3.58,40827.0135,889308.55,"437 Lincoln St Suite 371, Seattle, WA"
80498.007861,6.66818622,4.19358443,2.2,50986.7903,1336100.049,"6230 Pine St Suite 941, Seattle, WA"
32209.935934,9.58564137,3.76926865,2.66,35684.6242,994822.084,"6724 Lincoln St Suite 993, New York, NY"
79404.266251,6.14946569,6.92620741,3.15,43918.5492,1357419.56,"6174 Hill St Suite 277, Atlanta, GA"
93848.691265,4.73861614,5.48000892,2.72,56046.2281,1319242.593,"9996 Lincoln St Suite 296, Seattle, WA"
49530.447715,4.38799329,9.59039882,4.39,58558.7135,1094916.461,"3397 Lincoln St Suite 424, Atlanta, GA"
54416.222194,9.469603,8.56783749,5.29,26093.7053,1263832.958,"6465 Hill St Suite 891, Miami, FL"
50331.68564,4.30104273,7.99898901,4.77,42118.8056,990068.655,"4202 Lincoln St Suite 319, Seattle, WA"
87956.619246,4.16906178,6.93412614,4.29,25461.3291,1221711.114,"832 Cedar St Suite 753, Seattle, WA"
33674.377479,5.30641093,8.02150639,5.42,58538.3029,954856.116,"85 Pine St Suite 516, Atlanta, GA"
63421.396431,3.5956478,9.74739827,5.88,52294.8959,1185981.418,"9407 Cedar St Suite 647, New York, NY"
93926.080797,3.4005182,9.17571481,5.96,65981.7406,1419749.233,"6505 Lincoln St Suite 290, Phoenix, AZ"
91372.021754,2.07413735,6.97573308,4.69,69149.6944,1254781.708,"8902 Lincoln St Suite 237, Atlanta, GA"
49098.595705,8.47051103,5.31478868,2.68,52414.2669,1247443.544,"3051 Oak St Suite 854, Denver, CO"
85353.73651,6.54224978,8.30097925,5.39,62807.3252,1521356.439,"8443 Hill St Suite 188, Boston, MA"
76847.909739,3.47824961,3.98428313,2.4,32402.3542,987386.404,"4273 Washington St Suite 341, Atlanta, GA"
82762.965625,9.63227858,5.11362088,2.58,20571.7867,1357908.546,"1018 Maple St Suite 576, Phoenix, AZ"
41180.177766,7.48858896,9.4617421,4.48,58492.0524,1175075.025,"1924 Lake St Suite 476, Seattle, WA"
45339.002065,3.06855026,4.07229895,2.04,50286.9474,776812.765,"7715 Cedar St Suite 880, Seattle, WA"
77623.934394,6.76651572,8.51159483,4.68,46408.6562,1411355.153,"5928 Maple St Suite 677, Dallas, TX"
34323.063329,6.38119399,6.53840939,3.52,27492.6191,885329.977,"1905 Cedar St Suite 834, Atlanta, GA"
36365.915112,6.08300283,8.66084458,4.91,45662.3922,1061437.743,"7485 Oak St Suite 672, Atlanta, GA"
77093.739856,4.46535651,3.15239321,2.0,20150.7736,1008906.171,"6942 Hill St Suite 817, Dallas, TX"
67881.445286,2.48204505,9.25952912,4.23,43603.56,1137490.176,"4704 Washington St Suite 284, Miami, FL"
83607.937805,9.82666628,7.52116573,4.33,69642.8299,1581869.869,"6185 Washington St Suite 182, Miami, FL"
75747.386889,4.7821591,4.2493154,2.32,46442.127,1171924.632,"3649 Oak St Suite 874, New York, NY"
98494.347788,5.70403121,8.03365783,4.62,38963.8234,1469452.938,"2542 Lake St Suite 293, Dallas, TX"
32255.212044,7.28158149,7.30446245,3.4,64452.0671,1106728.49,"3944 Cedar St Suite 168, Dallas, TX"
71576.090324,5.57152853,7.70416546,3.67,32236.7076,1250352.828,"8844 Cedar St Suite 872, New York, NY"
39809.490258,9.94786753,4.63913062,2.17,48805.5168,1134952.979,"9462 Hill St Suite 342, Phoenix, AZ"
91338.082552,9.88556449,6.64875738,3.84,33757.696,1516163.436,"2870 Washington St Suite 669, Atlanta, GA"
33281.886787,4.75531864,7.50321246,4.4,46223.153,884801.753,"6822 Washington St Suite 252, Phoenix, AZ"
56352.213195,8.03532878,6.31463174,3.04,35036.8209,1165607.311,"945 Washington St Suite 526, Miami, FL"
57189.333417,4.03996516,5.31184096,3.63,42489.3413,910759.611,"6080 Maple St Suite 648, Seattle, WA"
33607.564038,5.0173438,7.23478612,5.05,23639.2164,842944.629,"9157 Cedar St Suite 590, Seattle, WA"
90863.169607,4.66371449,9.69913832,6.5,66857.9882,1446032.85,"1923 Lincoln St Suite 348, Seattle, WA"
57764.244184,3.91464767,5.25130506,3.23,43312.523,950238.247,"5893 Lincoln St Suite 577, Dallas, TX"
86197.163527,7.77930859,8.33140279,5.03,30156.3746,1431241.752,"5127 Washington St Suite 146, Seattle, WA"
81887.66651,2.12975921,6.87318094,3.68,56000.5969,1162154.171,"3769 Washington St Suite 683, Seattle, WA"
64951.103766,7.23686373,7.79392629,4.85,61079.597,1346946.672,"8038 Lincoln St Suite 272, Denver, CO"
41848.59976,7.76250825,6.41821425,3.01,47106.8428,1084319.064,"555 Maple St Suite 937, New York, NY"
83503.71905,5.29913778,8.89781302,5.61,55358.4782,1390724.523,"150 Cedar St Suite 617, Atlanta, GA"
56124.048488,6.94268189,7.66728311,4.05,44160.2077,1191354.067,"9039 Washington St Suite 112, New York, NY"
67059.235279,4.1979259,9.84235544,6.5,60657.861,1257301.436,"7055 Pine St Suite 209, Dallas, TX"
66706.978086,3.92775066,7.3384659,4.58,37722.055,1094329.47,"6653 Lincoln St Suite 678, Seattle, WA"
99316.312215,3.80685802,7.78829138,3.75,52686.786,1405300.457,"520 Maple St Suite 515, Boston, MA"
56401.869794,5.8080408,7.45723653,3.8,24134.3061,1098645.644,"5428 Maple St Suite 640, New York, NY"
46083.654797,9.21018367,7.84601399,4.23,33554.7526,1165695.797,"1219 Lake St Suite 656, New York, NY"
42554.815225,8.8034208,3.10960667,2.0,27209.5781,990530.711,"1261 Lake St Suite 266, Seattle, WA"
69668.714392,8.7955394,7.73924476,4.22,39192.3107,1331798.73,"2293 Maple St Suite 612, Denver, CO"
33758.750236,5.49670602,8.8707226,5.3,58450.2827,1051000.445,"5348 Oak St Suite 749, Phoenix, AZ"
84848.369729,5.60440156,4.59696873,2.5,38771.3498,1225809.14,"3044 Washington St Suite 187, Phoenix, AZ"
85863.862166,7.70486826,3.57426607,2.35,55583.8577,1325611.544,"5189 Hill St Suite 209, Dallas, TX"
30363.665566,4.46613964,5.51942248,3.42,26625.3502,696017.639,"3071 Washington St Suite 559, Boston, MA"
37230.504914,2.71695074,6.87953864,3.66,59221.9362,852995.52,"6780 Washington St Suite 897, Dallas, TX"
80739.069082,6.47629237,9.9491114,6.24,46055.2265,1439877.518,"6238 Pine St Suite 242, Phoenix, AZ"
51079.188576,5.94499154,3.44287005,2.0,41055.117,934819.04,"4124 Cedar St Suite 838, Atlanta, GA"
71566.447863,3.5643858,3.74880657,2.28,67441.1731,1081407.19,"5444 Washington St Suite 923, Denver, CO"
60815.604504,5.44492977,8.76474668,4.56,49719.646,1200179.234,"3291 Lincoln St Suite 421, Miami, FL"
97520.223617,9.74980177,5.04013706,2.58,44550.3656,1615899.512,"9436 Cedar St Suite 433, Boston, MA"
49621.010252,8.28693225,5.55510876,2.59,29990.0024,1116492.027,"9013 Oak St Suite 844, Atlanta, GA"
96008.244079,3.67718717,8.58379865,4.16,23457.9336,1323758.83,"6704 Lincoln St Suite 242, Phoenix, AZ"
