mpg,cyl,disp,hp,wt,acc,yr,origin,car_type,car_name
26,4,73,79,1724,20.6,75,2,1,renault deluxe 463
28,4,95,89,1837,20.7,80,1,1,dodge sedan 690
16,8,373,162,4100,18.2,70,1,0,dodge iii 508
11,8,?,227,4264,9.1,78,1,0,plymouth iii 404
17,8,345,164,4284,13.5,74,1,0,oldsmobile custom 289
34,4,112,56,1832,13.3,70,3,1,isuzu wagon 426
26,4,71,80,2156,8.5,82,1,1,oldsmobile ii 594
27,4,140,92,1925,?,78,2,1,bmw sedan 655
27,4,91,68,2367,16.5,70,3,1,honda coupe 801
10,8,345,219,4173,21,74,1,0,buick iii 465
12,8,410,214,3858,19.9,82,1,0,dodge gl 527
21,6,180,125,2875,10.7,74,1,0,amc ii 960
39,4,139,66,2486,9.3,75,3,1,subaru ii 583
37,4,88,89,1737,12.6,81,3,1,mitsubishi sport 198
31,4,112,85,2271,19.9,72,1,1,dodge deluxe 433
24,4,101,100,1710,10.8,74,2,1,saab wagon 149
21,6,187,139,3459,16.1,80,1,0,dodge sedan 808
37,4,138,62,2119,11.4,75,1,1,buick lx 570
24,4,134,71,2741,20.7,76,2,1,volvo custom 416
35,4,109,59,2154,19.6,72,1,1,pontiac wagon 979
36,4,112,93,2053,13.6,78,2,1,audi deluxe 136
35,4,106,71,2396,10.7,80,2,1,audi sedan 219
25,4,139,70,2274,15.9,72,1,1,buick sport 752
26,4,113,56,1863,12.4,78,1,1,chevrolet coupe 202
20,6,192,117,2960,16.8,75,1,0,buick ii 958
12,8,412,176,3553,9.4,74,1,0,dodge gl 499
24,6,231,106,3052,10.8,72,1,0,plymouth wagon 353
36,4,78,87,?,17.8,72,2,1,saab sport 856
34,4,133,75,2220,17.9,71,1,1,plymouth wagon 882
40,4,125,86,2358,17.7,80,2,1,volvo coupe 919
38,4,91,63,2230,16.6,72,1,1,pontiac custom 997
10,8,440,212,4491,20.1,77,1,0,amc lx 378
18,8,349,194,3755,19.4,76,1,0,buick lx 411
33,4,107,63,1908,20.3,80,2,1,saab sport 894
35,4,72,78,2662,9.1,75,3,1,isuzu lx 634
33,4,91,86,2087,14.3,70,1,1,amc iii 948
37,4,97,65,2182,14.9,70,1,1,ford coupe 227
13,8,428,209,3921,12.9,70,1,0,buick deluxe 617
24,6,226,86,3154,12.5,72,1,0,dodge iii 471
32,4,107,62,1709,18,81,3,1,nissan ii 255
28,4,129,100,2533,15.3,79,3,1,toyota lx 614
14,8,331,162,4195,17.5,75,1,0,chevrolet lx 570
23,6,223,128,2985,11.2,76,1,0,amc ii 854
16,8,368,190,3531,11.7,78,1,0,oldsmobile iii 671
19,6,210,125,2561,13.2,78,1,0,buick coupe 822
24,4,92,59,2023,17.3,72,1,1,plymouth gl 486
14,8,397,153,3981,15.3,79,1,0,pontiac iii 567
39,4,70,91,1855,17,73,2,1,volkswagen deluxe 402
10,8,376,173,4400,16,73,1,0,ford sedan 961
17,8,395,193,3673,13.7,79,1,0,oldsmobile iii 828
36,4,108,96,2388,13.5,82,1,1,plymouth coupe 652
26,4,100,86,2617,18.2,78,3,1,toyota iii 595
21,6,241,94,3294,13.9,79,1,0,oldsmobile iii 505
15,8,315,152,3621,20.5,71,1,0,pontiac gl 915
39,4,138,60,2121,12.6,81,3,1,mitsubishi gl 526
40,4,74,80,1839,20.8,73,3,1,nissan wagon 110
29,4,138,71,2053,16.5,78,1,1,ford coupe 768
10,8,438,197,4256,17.4,73,1,0,buick lx 531
35,4,123,94,2403,19.3,72,2,1,renault iii 442
24,4,138,86,2737,18.7,80,2,1,bmw deluxe 267
27,4,82,69,2525,12.3,70,1,1,dodge wagon 304
21,6,239,133,3388,19.2,80,1,0,oldsmobile coupe 169
21,6,235,135,3568,8.6,81,3,0,toyota sport 482
17,8,318,204,3499,9.8,74,1,0,chevrolet custom 146
34,4,88,72,2063,16.6,71,1,1,plymouth deluxe 212
27,4,108,99,1865,20.4,77,1,1,plymouth custom 614
25,4,100,98,2459,12.8,77,1,1,plymouth wagon 885
24,4,122,70,2203,11.5,75,3,1,mitsubishi custom 829
23,6,222,130,3032,9,70,2,0,peugeot gl 375
33,4,114,91,1753,15.1,77,1,1,ford ii 936
30,4,98,77,1993,12.1,80,3,1,datsun lx 278
24,6,243,104,2989,13.1,71,1,0,dodge ii 103
13,8,418,156,3674,8,70,1,0,chevrolet deluxe 972
25,4,122,78,2560,12.9,70,1,1,chevrolet custom 191
24,6,186,105,3099,15.1,71,1,0,oldsmobile custom 430
18,8,331,219,3978,11.6,71,1,0,pontiac ii 164
33,4,137,74,2233,13.8,76,3,1,mazda sedan 747
24,6,201,99,2707,19.9,71,1,0,dodge sedan 176
26,4,79,81,2099,17.1,81,2,1,renault coupe 313
21,6,204,135,3059,12.6,78,3,0,honda sport 658
17,6,228,130,2644,8.4,78,1,0,pontiac lx 466
24,4,88,82,1815,15.8,70,2,1,bmw custom 883
12,8,346,180,3430,13,74,1,0,buick wagon 515
36,4,140,86,1719,11,75,3,1,honda iii 919
25,4,125,64,2581,14,80,1,1,dodge custom 273
26,4,137,75,2693,12.1,75,3,1,toyota deluxe 154
14,8,346,169,4282,8.5,77,1,0,oldsmobile sedan 606
14,8,379,224,3863,12.5,71,1,0,oldsmobile custom 967
19,6,260,93,3245,16.3,73,3,0,datsun lx 375
25,6,202,125,3431,9.4,79,1,0,buick custom 853
40,4,111,87,2422,10.3,75,1,1,buick lx 109
10,8,?,188,3783,17.6,75,1,0,oldsmobile lx 735
20,6,194,123,2661,14.7,72,2,0,audi ii 864
11,8,348,145,3947,11.3,79,1,0,amc gl 259
27,4,103,70,2000,11.8,77,3,1,mitsubishi wagon 271
32,4,82,55,2642,20.4,76,3,1,mitsubishi ii 755
23,6,227,131,3558,8.5,78,1,0,ford sport 228
32,4,115,77,1733,8.5,72,3,1,isuzu gl 623
27,4,138,73,2126,20.3,80,3,1,isuzu lx 297
37,4,127,100,1855,13.1,74,2,1,renault wagon 509
40,4,87,69,2334,12.8,79,3,1,honda coupe 834
17,8,418,193,3844,15.7,82,1,0,oldsmobile lx 665
26,4,137,72,2660,8.5,70,1,1,pontiac lx 362
31,4,96,77,2020,14.5,82,3,1,datsun coupe 644
25,6,220,129,3575,9.4,81,1,0,chevrolet ii 241
11,8,364,203,4546,17.2,81,1,0,ford deluxe 734
25,6,252,91,3030,17,71,1,0,dodge sport 446
24,4,106,91,2776,18.4,73,1,1,buick wagon 529
14,8,385,226,4440,9.6,76,1,0,amc lx 902
23,6,180,120,2894,16.4,82,1,0,pontiac lx 825
36,4,119,60,2363,20.8,76,3,1,mitsubishi deluxe 250
23,6,228,131,2654,11.6,73,1,0,pontiac gl 811
11,8,362,178,4136,19.4,81,1,0,dodge ii 566
30,4,108,57,2780,12.9,79,3,1,nissan sedan 499
24,4,113,62,2274,19.1,72,2,1,saab custom 830
23,6,182,119,3260,8.3,79,1,0,buick iii 547
20,6,208,134,3064,15.2,79,1,0,chevrolet ii 839
33,4,94,78,2103,20.6,76,3,1,honda deluxe 393
30,4,80,94,1873,19.2,77,1,1,plymouth custom 982
40,4,83,72,2117,17.2,79,2,1,peugeot wagon 873
37,4,98,78,2160,13.8,72,3,1,mazda ii 687
23,6,260,134,2699,13.5,80,1,0,chevrolet sedan 567
14,8,396,204,3407,17.5,72,1,0,amc ii 416
24,4,110,95,1782,12,74,3,1,toyota ii 278
34,4,89,94,2221,10.3,80,3,1,mitsubishi wagon 110
30,4,85,58,2106,10.8,75,3,1,nissan coupe 619
19,6,207,113,2508,10.5,77,2,0,peugeot sedan 525
30,4,85,88,2175,20.1,70,3,1,mazda custom 949
15,8,405,157,4199,13.4,76,1,0,chevrolet coupe 277
40,4,107,75,1706,17.3,70,3,1,mazda gl 227
19,6,211,94,2541,10,74,2,0,volkswagen gl 437
33,4,126,90,2209,12.9,70,1,1,ford custom 411
15,8,459,204,4161,18.9,76,1,0,plymouth ii 106
12,8,316,228,3454,20.5,76,1,0,chevrolet coupe 814
31,4,137,97,2170,16.7,70,1,1,chevrolet sport 297
32,4,83,83,2400,12.8,80,2,1,volvo deluxe 883
37,4,103,100,2587,13.9,72,3,1,mitsubishi ii 252
39,4,127,70,2500,20.5,72,3,1,mazda deluxe 668
24,6,187,87,2950,19.8,74,1,0,pontiac sport 403
30,4,136,62,1820,10.5,80,3,1,mitsubishi lx 788
11,8,444,151,4152,13.3,70,1,0,chevrolet custom 778
29,4,129,91,2181,15.6,78,3,1,subaru sport 475
22,6,255,107,3373,12.5,78,1,0,chevrolet gl 598
25,4,129,91,1749,15,79,1,1,pontiac gl 395
35,4,95,81,1899,16.4,70,1,1,buick gl 506
30,4,89,95,2754,12.3,73,3,1,mazda lx 405
28,4,103,61,2131,17,73,2,1,renault ii 768
27,4,94,61,2664,13.5,79,2,1,saab deluxe 431
40,4,108,88,2166,19.6,71,2,1,volvo deluxe 150
26,4,81,84,1806,11.4,75,1,1,pontiac sport 382
15,8,441,176,3428,13,75,1,0,plymouth wagon 857
31,4,107,61,2734,20.4,78,3,1,datsun sport 758
21,6,213,98,3107,20,72,1,0,buick custom 136
12,8,356,143,4345,8.5,76,1,0,chevrolet gl 102
25,4,140,67,2075,10.8,75,3,1,datsun custom 761
24,6,182,114,2673,8.1,73,1,0,chevrolet lx 520
26,4,113,98,2736,14,73,3,1,honda lx 287
15,8,425,194,3872,11.2,71,1,0,dodge sport 600
13,8,349,148,4266,13.6,77,1,0,plymouth coupe 482
24,4,128,71,2025,16.8,78,3,1,nissan custom 565
28,4,111,98,1883,9.7,82,3,1,mitsubishi ii 210
14,8,359,182,3522,10.8,74,1,0,oldsmobile ii 516
26,4,130,76,2727,20.2,70,1,1,plymouth sedan 609
12,8,427,220,3416,8.8,77,1,0,dodge ii 214
29,4,83,56,2262,14.7,78,2,1,volkswagen sport 443
29,4,110,65,2208,18.2,77,3,1,datsun ii 254
31,4,133,97,2038,15.4,73,2,1,audi lx 722
20,6,214,91,2543,8.3,73,3,0,honda wagon 408
39,4,89,96,1802,18,78,3,1,honda gl 196
16,8,349,184,3980,19.5,70,1,0,amc iii 402
34,4,78,72,2028,8.1,77,3,1,nissan lx 886
16,8,372,151,4354,8.8,71,1,0,ford custom 746
27,4,117,95,2052,16.3,74,3,1,nissan wagon 710
30,4,83,56,2793,9.8,76,2,1,renault sedan 417
16,8,394,176,4091,11.9,80,1,0,oldsmobile deluxe 316
27,4,95,76,1900,9.2,72,2,1,bmw custom 953
29,4,102,66,2243,11.8,78,1,1,ford custom 722
37,4,85,92,2041,11.3,77,1,1,plymouth deluxe 983
39,4,119,66,2109,17,74,2,1,volkswagen iii 405
22,6,209,99,2592,18.7,82,2,0,volvo coupe 899
28,4,90,70,2726,10.2,80,2,1,fiat sedan 807
28,4,114,66,2544,8.6,76,3,1,subaru sedan 392
18,6,254,87,3074,16,82,3,0,mitsubishi sedan 604
22,6,224,119,2736,15.7,78,1,0,buick deluxe 306
25,6,255,91,2795,13.8,79,1,0,ford ii 407
26,4,107,61,2061,10.5,74,2,1,saab ii 826
40,4,89,75,2660,9.4,81,3,1,subaru sport 346
38,4,119,89,2178,17.5,80,3,1,toyota sedan 298
19,6,210,104,2757,14.1,74,1,0,dodge coupe 447
22,6,191,125,3043,13.5,82,3,0,toyota coupe 231
33,4,101,82,1956,11.4,70,2,1,renault gl 800
13,8,419,225,4202,13.1,77,1,0,dodge custom 726
14,8,334,154,4568,14.9,78,1,0,pontiac ii 590
31,4,100,56,2435,16.5,73,2,1,bmw custom 159
19,6,199,98,2756,13.6,82,1,0,plymouth deluxe 960
23,6,260,132,2647,14.3,79,3,0,datsun wagon 900
25,6,237,97,2613,11.2,73,1,0,amc wagon 251
15,8,397,202,3650,11.3,79,1,0,chevrolet coupe 453
22,6,253,98,2630,9.4,78,3,0,datsun deluxe 892
26,4,116,74,2762,15.6,70,2,1,volvo deluxe 253
19,6,234,99,3406,10.8,77,2,0,saab iii 528
14,8,390,144,3575,9.2,70,1,0,oldsmobile sedan 817
40,4,129,96,2635,20.4,74,3,1,mitsubishi deluxe 583
13,8,406,163,4024,13.7,81,1,0,chevrolet deluxe 380
21,6,242,126,2673,18.7,70,1,0,dodge deluxe 100
40,4,130,76,2778,16,75,3,1,mitsubishi custom 397
29,4,134,89,2760,9.4,71,3,1,mitsubishi sport 415
12,8,459,203,4199,16.2,70,1,0,buick sedan 160
36,4,112,73,2605,18.5,79,3,1,mazda deluxe 283
33,4,135,59,1837,20.4,82,3,1,mitsubishi lx 586
14,8,417,147,4428,10.6,81,1,0,dodge custom 230
24,4,115,66,1881,12.7,76,3,1,datsun coupe 690
23,6,213,89,3268,18.7,73,2,0,volvo ii 554
17,8,326,163,4538,8.4,81,1,0,dodge sedan 486
13,8,412,200,4497,15.6,80,1,0,buick coupe 353
17,8,455,211,4294,14,82,1,0,buick gl 674
39,4,83,69,2046,17.4,70,1,1,plymouth gl 271
35,4,117,82,2082,13,75,2,1,saab coupe 897
39,4,124,93,1702,15.5,75,3,1,nissan iii 302
11,8,384,178,3857,17.9,75,1,0,oldsmobile sport 598
33,4,95,62,2696,18.5,76,3,1,nissan deluxe 737
11,8,358,209,3402,20,75,1,0,chevrolet gl 446
13,8,340,213,4340,17.9,77,1,0,pontiac custom 678
15,8,448,197,4373,14,82,1,0,pontiac coupe 259
12,8,447,153,3606,19.1,73,1,0,pontiac iii 357
18,6,226,128,2952,18.1,72,2,0,renault custom 687
34,4,72,80,1735,14,79,1,1,plymouth custom 351
35,4,94,85,2354,15.5,80,3,1,datsun ii 880
28,4,84,84,2538,15.1,75,3,1,datsun sport 457
13,8,388,147,4063,15.7,72,1,0,ford custom 351
24,4,72,77,1859,13.9,77,2,1,volkswagen ii 900
18,8,448,229,3911,17.3,78,1,0,amc iii 986
10,8,325,194,3974,14.4,80,1,0,chevrolet deluxe 677
12,8,418,195,3731,14.8,81,1,0,buick custom 279
25,4,109,91,1822,13.1,74,3,1,isuzu custom 882
26,4,96,72,2608,15.7,70,1,1,ford deluxe 943
17,8,305,175,4185,18.4,75,1,0,chevrolet deluxe 661
17,8,406,142,3640,13.3,81,1,0,chevrolet custom 614
30,4,125,85,2629,14,81,3,1,toyota sport 210
37,4,88,77,2612,16.7,79,2,1,audi iii 174
14,8,432,189,4569,11.3,78,1,0,buick wagon 940
25,6,235,140,2508,14.9,82,1,0,ford iii 981
17,8,355,143,4548,17.7,82,1,0,pontiac lx 593
22,6,218,91,3042,15.9,71,1,0,ford wagon 529
40,4,140,72,2428,8.8,70,2,1,saab wagon 176
37,4,126,95,2370,18.7,74,1,1,plymouth iii 245
35,4,121,97,1950,10.9,75,2,1,bmw sport 622
10,8,342,208,3861,19.8,76,1,0,chevrolet gl 249
17,8,425,185,3706,10.2,75,1,0,buick iii 841
12,8,401,153,3745,16.4,73,1,0,pontiac sport 599
12,8,310,151,3981,10.5,75,1,0,ford sport 449
17,8,459,212,4442,12.7,81,1,0,plymouth deluxe 500
40,4,127,83,2286,8.2,80,1,1,chevrolet deluxe 228
27,4,98,97,2658,18.1,77,2,1,bmw sedan 341
18,8,329,171,4357,9.6,78,1,0,dodge iii 427
20,6,198,109,3231,11.9,82,1,0,ford deluxe 639
30,4,113,89,2756,10.9,79,3,1,mazda wagon 656
16,8,341,222,3540,20.8,70,1,0,amc sport 672
25,6,203,92,2501,19.6,79,2,0,fiat wagon 157
29,4,99,89,1847,9.6,71,2,1,audi custom 286
40,4,126,87,1736,9.9,79,1,1,buick iii 511
13,8,365,229,4563,17.8,71,1,0,plymouth coupe 774
34,4,113,98,2657,9.2,82,2,1,volvo sedan 490
34,4,82,59,2606,10.5,77,3,1,nissan iii 654
12,8,337,164,4398,19.5,81,1,0,oldsmobile wagon 458
14,8,409,206,3970,13.4,71,1,0,ford lx 851
27,4,92,75,2519,11.7,82,2,1,saab gl 345
38,4,113,100,1864,15.3,82,3,1,datsun ii 616
22,6,211,106,3565,10.7,76,1,0,plymouth custom 410
13,8,325,175,4105,14.8,74,1,0,plymouth sedan 902
18,6,222,136,2774,11.9,73,1,0,buick iii 258
31,4,86,94,1760,9.3,81,1,1,amc wagon 132
14,8,380,185,4286,11.4,82,1,0,buick coupe 764
38,4,129,64,1893,9.9,74,2,1,bmw gl 241
18,8,384,166,4115,19.2,72,1,0,buick deluxe 221
23,6,192,88,2715,20.5,71,1,0,oldsmobile iii 575
25,6,251,136,3314,14.9,81,3,0,mazda lx 906
29,4,134,69,2273,9.8,75,2,1,renault ii 190
20,6,242,92,3419,14.6,77,2,0,audi custom 576
36,4,131,93,1850,14.2,73,2,1,peugeot iii 128
36,4,96,92,2244,11.9,78,1,1,oldsmobile coupe 770
32,4,112,75,1759,19.6,79,1,1,oldsmobile ii 298
32,4,125,57,2075,15.7,71,3,1,nissan wagon 431
35,4,124,90,1822,13.6,76,3,1,subaru coupe 620
24,4,71,81,2587,18.4,73,2,1,volkswagen deluxe 520
21,6,224,104,2961,20.9,75,1,0,chevrolet sedan 962
18,8,320,217,3702,17.9,80,1,0,oldsmobile sport 824
27,4,117,68,2481,11.9,82,2,1,audi ii 868
13,8,401,200,4170,13.4,80,1,0,chevrolet gl 313
40,4,75,77,2151,18,81,2,1,peugeot sport 138
30,4,87,84,2499,9.8,80,2,1,audi deluxe 405
12,8,411,167,3443,11.4,74,1,0,chevrolet wagon 503
37,4,112,67,2187,10,80,3,1,isuzu ii 774
18,6,232,133,2637,15.6,79,1,0,ford custom 412
15,8,327,191,4241,14,76,1,0,oldsmobile lx 598
35,4,127,92,2756,15.2,82,3,1,toyota custom 592
32,4,71,78,2015,16.6,74,2,1,renault coupe 417
35,4,83,93,1903,15.8,80,2,1,peugeot sedan 269
18,8,426,218,3898,11.9,73,1,0,buick sport 894
18,8,305,174,3434,18.7,78,1,0,dodge deluxe 904
18,8,300,195,3792,17.3,75,1,0,plymouth deluxe 290
38,4,132,73,2280,17.5,75,1,1,chevrolet lx 526
36,4,87,70,1709,18.7,79,3,1,mitsubishi ii 573
18,8,382,211,4071,16.2,81,1,0,pontiac deluxe 592
31,4,122,59,1915,11.6,71,3,1,subaru custom 357
18,8,381,217,3647,8.3,71,1,0,chevrolet lx 757
22,6,260,118,2754,14.7,71,1,0,ford sedan 815
31,4,94,95,2265,14.2,73,2,1,saab custom 683
21,6,211,110,3535,13.8,79,2,0,fiat ii 380
23,6,180,117,2638,10.2,72,1,0,chevrolet gl 246
25,6,211,109,3199,9.9,76,1,0,ford coupe 815
29,4,106,72,2002,11.4,74,3,1,toyota coupe 673
23,6,234,115,3520,20.8,74,1,0,ford deluxe 586
37,4,99,74,2199,8.2,70,1,1,pontiac ii 283
32,4,79,56,2019,10.4,79,1,1,chevrolet gl 931
38,4,78,89,2537,18.7,76,3,1,toyota gl 215
18,6,241,118,2973,19.8,82,1,0,oldsmobile wagon 910
13,8,376,188,4292,14.2,78,1,0,oldsmobile sport 337
35,4,105,78,2543,14.8,78,1,1,dodge gl 746
15,8,391,188,3747,15.5,75,1,0,chevrolet deluxe 685
30,4,93,63,2357,13.1,74,2,1,audi wagon 363
13,8,342,148,4137,12.3,82,1,0,amc wagon 173
31,4,86,58,2040,8.4,82,2,1,saab custom 900
13,8,349,176,3985,15.4,73,1,0,amc custom 286
17,8,331,219,4187,14.7,75,1,0,amc sport 181
40,4,101,66,2787,9.4,82,2,1,renault custom 827
18,8,428,210,3545,12.5,81,1,0,plymouth coupe 665
13,8,373,169,4502,20.4,80,1,0,buick sport 879
33,4,88,65,2685,16.3,78,2,1,audi custom 414
30,4,96,82,2800,18.3,70,2,1,volvo coupe 963
27,4,73,96,2318,19.1,73,1,1,buick custom 900
17,8,411,182,4136,14.5,74,1,0,oldsmobile sedan 207
16,8,309,195,3686,9.7,75,1,0,chevrolet coupe 459
15,8,381,210,4257,10.7,78,1,0,dodge lx 674
14,8,307,216,3582,10.9,80,1,0,ford iii 438
19,6,196,110,2691,9.2,80,3,0,subaru sport 934
20,6,244,89,3126,14.8,78,1,0,amc ii 250
